,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
1613,Terence Morris,2.65,0.35,2.15,0.55,1.65,0.25,0.25,0.45,35.5,10.8,1.2,2.9,0.4,0.41,0.15,0.2,0.89
1614,Paul Davis,2.65,0.65,1.5,0.7,0.77,0.22,0.28,0.3,20.5,7.62,1.08,2.58,0.42,0.42,0.5,0.78,0.65
1615,Greg Stiemsma,2.65,0.45,2.9,0.88,2.02,0.5,0.92,0.65,50.75,13.0,1.15,2.15,0.58,0.58,0.4,0.6,0.64
1616,Royal Ivey,2.64,0.78,0.96,0.22,0.74,0.4,0.06,0.4,44.67,10.14,1.01,2.52,0.37,0.43,0.34,0.5,0.68
1617,Jaylen Morris,2.63,0.97,1.57,0.1,1.43,0.27,0.07,0.53,4.33,9.63,1.07,3.27,0.27,0.3,0.33,0.6,0.5
1618,Theo Pinson,2.62,1.02,1.32,0.18,1.14,0.26,0.04,0.54,25.4,8.14,0.88,2.72,0.29,0.37,0.48,0.5,0.91
1619,Damion James,2.62,0.45,2.75,0.48,2.28,0.4,0.42,0.72,9.75,12.6,1.02,2.72,0.35,0.35,0.55,0.8,0.77
1620,Aaron Harrison,2.6,0.63,1.33,0.2,1.1,0.43,0.07,0.17,11.67,11.23,0.77,3.13,0.18,0.23,0.6,0.97,0.56
1621,McKinley Wright IV,2.6,1.35,0.85,0.15,0.7,0.15,0.1,0.45,16.0,8.1,1.05,2.1,0.57,0.67,0.25,0.35,0.68
1622,Jeryl Sasser,2.6,0.9,2.5,0.9,1.6,0.6,0.2,0.5,75.0,13.7,0.9,2.8,0.31,0.34,0.7,1.0,0.68
1623,Isaiah Mobley,2.6,0.3,1.7,0.3,1.3,0.3,0.3,0.1,12.0,7.0,1.0,2.3,0.43,0.48,0.3,0.3,1.0
1624,Joe Alexander,2.6,0.5,1.25,0.5,0.8,0.2,0.3,0.45,33.5,7.85,0.9,2.5,0.29,0.31,0.65,0.9,0.68
1625,Amida Brimah,2.6,0.2,1.6,0.4,1.2,0.0,1.0,0.8,5.0,5.8,1.0,1.6,0.62,0.62,0.6,0.6,1.0
1626,Jordan Bone,2.6,1.05,1.05,0.15,0.9,0.1,0.0,0.2,12.0,9.65,1.05,2.95,0.34,0.41,0.0,0.0,
1627,Jacob Evans,2.6,0.75,0.92,0.2,0.73,0.25,0.22,0.55,22.0,9.62,0.98,2.95,0.25,0.29,0.45,0.52,0.57
1628,Grant Riller,2.6,0.4,0.1,0.0,0.1,0.1,0.0,0.1,7.0,3.9,1.1,1.7,0.67,0.75,0.0,0.0,
1629,Bruno Caboclo,2.6,0.42,1.73,0.57,1.18,0.32,0.37,0.49,13.36,8.15,1.01,2.71,0.33,0.38,0.32,0.37,0.79
1630,Melvin Sanders,2.6,0.2,1.4,0.3,1.2,0.3,0.0,0.5,16.0,7.1,1.0,2.1,0.48,0.52,0.4,0.6,0.7
1631,Nick Johnson,2.6,0.4,1.4,0.5,0.9,0.3,0.1,0.7,28.0,9.4,0.9,2.7,0.35,0.38,0.6,0.9,0.68
1632,DeAndre Liggins,2.6,0.56,1.96,0.63,1.31,0.7,0.12,0.38,33.0,11.33,1.01,2.18,0.48,0.54,0.4,0.68,0.53
1633,Danny Manning,2.6,0.5,1.4,0.5,0.8,0.7,0.2,0.5,13.0,6.8,1.0,2.5,0.41,0.45,0.4,0.5,0.83
1634,Gary Clark,2.59,0.49,2.22,0.6,1.62,0.24,0.29,0.21,27.89,11.79,0.88,2.5,0.32,0.44,0.14,0.19,0.87
1635,Dan Langhi,2.58,0.1,0.88,0.08,0.78,0.08,0.02,0.28,18.0,7.38,1.05,2.8,0.37,0.4,0.25,0.28,0.87
1636,Mfiondu Kabengele,2.58,0.32,1.68,0.48,1.22,0.28,0.24,0.36,18.8,7.44,0.88,2.36,0.36,0.43,0.44,0.52,0.88
1637,Cole Aldrich,2.57,0.37,2.88,0.83,2.06,0.3,0.6,0.51,38.4,8.94,1.06,2.02,0.52,0.52,0.42,0.59,0.66
1638,Lazar Hayward,2.57,0.57,1.1,0.2,0.87,0.3,0.07,0.27,24.0,7.73,0.77,2.57,0.3,0.34,0.87,1.0,0.79
1639,Glen Rice Jr.,2.55,0.5,1.3,0.4,0.95,0.25,0.05,0.6,8.0,9.25,0.8,3.2,0.25,0.3,0.65,0.9,0.69
1640,Jerome Jordan,2.55,0.25,1.85,0.95,0.9,0.1,0.3,0.3,32.5,6.9,0.95,1.85,0.52,0.52,0.65,0.75,0.83
1641,Solomon Jones,2.55,0.32,2.27,1.0,1.24,0.25,0.48,0.71,30.2,11.48,0.91,2.19,0.37,0.37,0.71,0.97,0.71
1642,Michael Curry,2.53,0.97,1.43,0.3,1.13,0.4,0.13,0.53,55.33,17.1,1.0,2.43,0.41,0.43,0.47,0.6,0.72
1643,Ray Spalding,2.53,0.2,2.28,0.82,1.48,0.32,0.55,0.7,7.5,8.1,1.18,2.25,0.52,0.52,0.15,0.7,0.22
1644,Adonis Thomas,2.53,0.5,0.43,0.0,0.43,0.0,0.0,0.23,4.0,6.23,1.1,2.37,0.45,0.5,0.17,0.17,1.0
1645,Lucas Nogueira,2.53,0.38,2.38,0.68,1.67,0.52,0.72,0.45,35.25,9.8,1.02,1.78,0.54,0.55,0.45,0.75,0.59
1646,Tony Bobbitt,2.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,2.0,6.0,1.0,2.5,0.4,0.5,0.0,0.0,
1647,Troy Caupain,2.5,1.0,0.8,0.3,0.5,0.3,0.0,0.0,4.0,4.0,1.0,2.0,0.5,0.62,0.0,0.0,
1648,Daniel Hamilton,2.5,1.25,1.65,0.25,1.35,0.25,0.05,0.55,12.5,7.7,1.0,2.5,0.42,0.5,0.1,0.15,0.5
1649,Donta Smith,2.5,0.7,1.0,0.3,0.7,0.45,0.05,0.45,30.5,8.45,0.95,2.1,0.47,0.5,0.6,0.9,0.59
1650,Paul Grant,2.5,0.3,1.7,0.7,1.0,0.1,0.1,0.7,10.0,9.8,1.1,2.3,0.48,0.48,0.3,0.8,0.38
1651,Oliver Miller,2.5,0.8,2.7,1.0,1.8,0.4,0.5,0.7,48.0,10.5,1.1,2.1,0.53,0.53,0.3,0.5,0.65
